	collagen	speed	straight	angles	arrest	type
57	loose	14.070546566093	0.093490597519535	0.988837218187727	0.051282051282051	target
58	loose	9.58663498040526	0.735199121558935	0.494118067261523	0.040816326530612	target
59	loose	0.755991411458012	0.046845144392862	1.86499818584361	0.983333333333333	target
60	loose	10.1130841819481	0.904084489887569	0.564153369909771	0.0625	target
61	loose	6.35309146928976	0.122639771650398	1.22412103030526	0.208333333333333	target
62	loose	11.4297098234668	0.563342012223121	0.673537041980023	0.036363636363636	target
63	loose	12.0348516067854	0.837881458276199	0.396784490506209	0	target
64	loose	4.5488120707695	0.776278201225714	0.659173302200778	0.2	target
65	loose	12.8477015051454	0.263099868243459	0.915242025330244	0.05	target
66	loose	1.31151673901183	0.023078376862991	1.93285883407756	0.808333333333333	target
67	loose	11.5279703118837	0.076870744976643	0.843573094799442	0.023255813953488	target
68	loose	11.4841300264247	0.131441763671677	1.02022531890137	0.075	target
69	loose	11.9574907340377	0.903473051335005	1.1443643159953	0.076923076923077	target
70	loose	3.83653295433631	0.084937438988265	1.47073337449817	0.316666666666667	target
71	loose	0.573091451657215	0.050137308623319	1.91092213878736	1	target
72	loose	4.54213484983921	0.14038044829813	1.32672364933937	0.433333333333333	target
73	loose	3.0456632507053	0.093244062049293	1.57586404552565	0.508333333333333	target
74	loose	2.55294912550479	0.448783815102324	1.4917951516853	0.683333333333333	target
75	loose	4.63950856486536	0.275641097988726	1.45904083560066	0.283333333333333	target
76	loose	2.15665909411888	0.023722749885274	1.90347998545403	0.633333333333333	target
77	loose	9.0031119880907	0.15210837804363	0.822043610493355	0.083333333333333	target
78	loose	9.23658525884226	0.606792267888204	0.898035256597667	0.117647058823529	target
79	loose	9.18265886863798	0.25242062522266	1.0029624633061	0.125	target
80	loose	9.3192594064528	0.128953030081109	1.03346130671154	0.170731707317073	target
81	loose	8.18679955673716	0.329712897154894	1.0599295992155	0.072072072072072	target
82	loose	16.8771656726199	0.588017986104495	0.434530431743316	0	target
83	loose	9.35851736067936	0.330583948970329	0.923443384968499	0.091836734693878	target
84	loose	3.49932293829654	0.325395026885933	1.21889513377593	0.391666666666667	target
85	loose	0.948994759269491	0.52972528857511	1.50941181705956	0.881720430107527	target
86	loose	6.04097690979372	0.249968741661632	1.09418717416825	0.324675324675325	target
87	loose	8.18024717077963	0.821934398628213	0.561126756303686	0.057142857142857	target
88	loose	6.5820096782818	0.072108946198117	1.37495599993534	0.181818181818182	target
89	loose	8.7549901772681	0.187079150477573	1.09856406060912	0.094117647058824	target
90	loose	10.7650418334885	0.959385280577985	0.438644212216606	0	target
91	loose	4.79343608462505	0.306407995136729	1.38532031771796	0.213333333333333	target
92	loose	6.65902798952168	0.586364127479893	1.24172518744557	0.324324324324324	target
93	loose	4.75089632647584	0.461359703654822	1.27430941205989	0.378787878787879	target
94	loose	10.5606127918713	0.340796262935507	0.960835887647343	0.066666666666667	target
95	loose	11.709679733365	0.481446317428499	1.7295402344096	0	target
96	loose	10.483847355978	0.666536419835188	1.10442400732827	0.142857142857143	target
97	loose	8.52050657787322	0.552776447117842	0.987844413725382	0.06	target
98	loose	10.5966762989273	0.430043282430927	0.826297430679835	0	target
99	loose	9.87601149539314	0.679805889609855	1.53087602687283	0.15	target
100	loose	10.7917310370182	0.293733609040584	0.59954133623885	0.066666666666667	target
101	loose	7.27952457005288	0.617151971553305	0.810129369600182	0.142857142857143	target
102	loose	3.78342849289354	0.725044182380955	1.34078713872553	0.333333333333333	target
103	loose	6.33747231535657	1	0	0	target
104	loose	3.8446825345361	1	0	0	target
105	loose	14.1830646196635	0.424662618747518	0.637450466135299	0.089887640449438	target
106	loose	5.64436373994866	0.63359988204037	1.39214876075281	0.318181818181818	target
107	loose	8.20802545471808	0.330362454386507	0.73866718292418	0.15	target
108	loose	0.809778425962942	0.040267215949023	1.80386797806254	0.925	target
109	loose	6.01349839152934	0.771501782040543	0.742075791918018	0.091666666666667	target
110	loose	1.39728181215367	0.027024984022778	1.94068212524594	0.841666666666667	target
111	loose	3.16112032800037	0.098332133415209	1.33256260175369	0.5	target
112	loose	14.1489973431942	0.584361093817075	0.783670124620965	0.116666666666667	target
113	loose	17.1023000994302	0.78877160028286	0.912536642079277	0	target
114	loose	7.17951686586287	0.586822255746492	1.02085538716906	0.078947368421053	target
115	loose	3.67774398672352	0.273943271077102	0.62919006027428	0.316666666666667	target
116	loose	10.2564982307119	0.28986502339169	0.96171551580591	0.091666666666667	target
117	loose	6.88019104521706	0.296566899891562	1.06325993315043	0.3	target
118	loose	9.57313345850042	0.531216167066529	0.717773768407509	0.071428571428571	target
119	loose	9.17454096567772	0.243590687211767	1.06340192332452	0.131578947368421	target
120	loose	6.64330283358718	0.587323835738357	1.22903110512709	0.136363636363636	target
121	loose	13.6718496365607	0.305086809798115	0.726303815300221	0.025	target
122	loose	10.8436431786126	0.345391963599279	0.719596793625331	0.083333333333333	target
123	loose	12.0138368385627	0.071495471930614	0.580797059355333	0.05	target
124	loose	10.7892920267181	0.200360731652092	1.22659138125112	0.1	target
125	loose	0.449897998295336	0.106584192250916	1.78917996033563	1	target
126	loose	8.09203319002595	0.61101015364923	0.671092029652137	0.076923076923077	target
127	loose	6.01125378150869	0.364333907986911	0.67005551331602	0.073684210526316	target
128	loose	6.31064457112708	0.559091354857517	1.07345742891572	0.142857142857143	target
129	loose	10.6339528699721	0.310902211847233	1.08961319648495	0.1	target
130	loose	6.70414353006162	0.178115955127126	1.40710445380564	0.504504504504504	target
131	loose	1.0171574950712	0.045901891605821	1.85828517147381	0.925	target
132	loose	1.92358793054142	0.279534528300216	1.44118362621142	0.7	target
133	loose	1.13867657165529	0.016460528510709	1.79510209536773	0.866666666666667	target
134	loose	1.40007539850836	0.018945826338567	1.86907778366321	0.808333333333333	target
135	loose	4.03421639821032	0.405864937513797	1.12111005741665	0.408333333333333	target
136	loose	9.67309202474306	0.191927336698131	1.04097158401416	0.075	target
137	loose	2.42444664127629	0.197749946627735	1.81233472089815	0.666666666666667	target
138	loose	10.3157999440701	0.787330857784118	0.708409429903734	0.023255813953488	target
139	loose	16.9406780446796	0.550818479977521	0.602526867503105	0.035714285714286	target
140	loose	5.68217962706127	0.145311943075561	1.41159364574022	0.241379310344828	target
141	loose	11.6949594877293	0.653972215529732	0.794269813013019	0.038461538461539	target
142	loose	20.5212595303992	0.777870202099072	0.473803308840731	0	target
143	loose	7.89816888204711	0.612208813526714	1.05733472618025	0.258620689655172	target
144	loose	11.3965640165367	0.200340840629343	0.90855384707773	0.158333333333333	target
145	loose	7.20435893957358	0.419944682147615	1.1214271031397	0.175	target
146	loose	12.0946405178001	0.448992649139702	0.86381061568599	0.018518518518519	target
147	loose	2.24820064717565	0.171289289332441	1.73860250537545	0.518518518518518	target
148	loose	12.7298922504332	0.282389509081618	0.832153338412991	0.083333333333333	target
149	loose	8.48494024490792	0.340895685303419	0.546810716414542	0.058333333333333	target
150	loose	10.3777104960517	0.175488001473557	1.32461952521231	0.056179775280899	target
151	loose	4.72338720409428	0.321981091957673	1.38780432854576	0.54	target
152	loose	11.3098387308181	0.247796859600129	0.578021158479743	0.129411764705882	target
153	loose	13.1804564489975	0.445335204489144	0.982771221088178	0.158333333333333	target
154	loose	16.4454176119942	0.306980151569384	0.71582948469688	0	target
155	loose	7.32290961190313	0.734159170006044	1.81170873138819	0	target
156	loose	12.6441182802574	0.936258497426386	0.872264574929743	0	target
